,Score1,Score2,Reward
547,4.85,1.7,63.0
548,5.8,2.7,62.0
549,6.75,2.4,87.0
550,4.7,2.4,46.0
551,6.4,1.2,104.0
552,5.35,2.2,63.0
553,5.45,1.6,77.0
554,4.85,1.7,63.0
555,5.2,2.1,62.0
556,6.9,2.1,96.0
557,7.8,1.8,120.0
558,4.95,1.7,65.0
559,5.6,1.6,80.0
560,5.5,1.3,84.0
561,5.55,1.4,83.0
562,5.3,1.4,78.0
563,5.3,1.6,74.0
564,6.05,2.8,65.0
565,6.2,1.6,92.0
566,8.6,1.0,152.0
567,7.6,3.3,86.0
568,5.45,2.9,51.0
569,6.05,1.6,89.0
570,6.4,2.1,86.0
571,6.4,2.6,76.0
572,7.25,1.9,107.0
573,6.0,1.9,82.0
574,4.85,3.5,27.0
575,8.15,2.9,105.0
576,6.0,1.2,96.0
577,4.8,2.3,50.0
578,5.75,2.0,75.0
579,6.0,2.9,62.0
580,5.2,3.1,42.0
581,6.25,1.5,95.0
582,7.5,1.5,120.0
583,8.9,1.7,144.0
584,5.0,2.1,58.0
585,7.0,2.0,100.0
586,4.4,2.7,34.0
587,6.15,1.8,87.0
588,6.7,2.9,76.0
589,6.35,1.5,97.0
590,5.75,2.0,75.0
591,7.95,1.6,127.0
592,7.0,1.9,102.0
593,5.1,2.7,48.0
594,6.95,2.7,85.0
595,7.0,1.5,110.0
596,7.3,1.8,110.0
597,4.3,2.4,38.0
598,5.8,1.8,80.0
599,5.2,2.1,62.0
600,5.7,2.6,62.0
601,5.3,2.4,58.0
602,5.5,2.1,68.0
603,4.1,1.4,54.0
604,7.7,2.8,98.0
605,6.45,2.0,89.0
606,5.1,2.3,56.0
607,6.1,3.1,60.0
608,6.25,2.6,73.0
609,4.35,1.7,53.0
610,6.3,1.5,96.0
611,5.95,2.8,63.0
612,6.55,2.5,81.0
613,6.6,2.0,92.0
614,6.35,2.0,87.0
615,5.8,2.2,72.0
616,6.75,1.9,97.0
617,6.1,1.7,88.0
618,5.2,2.7,50.0
619,6.25,2.3,79.0
620,4.95,1.2,75.0
621,3.75,3.3,9.0
622,7.95,2.3,113.0
623,6.45,2.3,83.0
624,6.35,2.3,81.0
625,6.65,2.1,91.0
626,6.1,2.7,68.0
627,5.7,2.5,64.0
628,5.7,1.6,82.0
629,8.1,1.4,134.0
630,5.7,1.7,80.0
631,5.5,2.6,58.0
632,5.55,2.0,71.0
633,3.05,2.1,19.0
634,5.7,1.5,84.0
635,4.4,1.7,54.0
636,5.6,1.4,84.0
637,6.0,2.6,68.0
638,7.4,1.6,116.0
639,4.6,1.5,62.0
640,6.3,1.8,90.0
641,5.75,1.7,81.0
642,7.5,2.0,110.0
643,5.7,2.1,72.0
644,3.45,1.4,41.0
645,5.0,1.4,72.0
646,6.6,1.3,106.0
647,4.7,2.2,50.0
648,5.3,1.7,72.0
649,5.35,1.8,71.0
650,5.95,1.4,91.0
651,5.5,1.3,84.0
652,6.2,3.2,60.0
653,5.35,2.0,67.0
654,7.85,2.4,109.0
655,5.55,1.5,81.0
656,6.2,2.1,82.0
657,7.1,1.9,104.0
658,5.0,2.1,58.0
659,5.4,1.4,80.0
660,4.35,1.8,51.0
661,6.2,1.3,98.0
662,5.85,1.8,81.0
663,5.2,2.1,62.0
664,4.65,2.0,53.0
665,6.55,2.7,77.0
666,4.85,2.4,49.0
667,3.45,2.8,13.0
668,7.4,2.8,92.0
669,7.45,3.1,87.0
670,6.8,1.3,110.0
671,6.4,1.8,92.0
672,5.45,1.7,75.0
673,5.75,1.9,77.0
674,7.7,2.7,100.0
675,5.1,1.4,74.0
676,5.8,2.9,58.0
677,4.45,1.4,61.0
678,5.6,3.3,46.0
679,6.0,2.1,78.0
680,6.15,3.2,59.0
681,3.85,1.4,49.0
682,5.8,1.5,86.0
683,4.75,3.0,35.0
684,7.7,2.1,112.0
685,4.95,1.5,69.0
686,5.3,2.7,52.0
687,6.85,2.2,93.0
688,5.8,3.2,52.0
689,3.65,3.4,5.0
690,5.35,2.6,55.0
691,4.55,1.5,61.0
692,6.25,2.4,77.0
693,5.75,2.2,71.0
694,6.95,2.5,89.0
695,5.95,1.3,93.0
696,3.65,2.7,19.0
697,5.25,1.7,71.0
698,5.45,3.6,37.0
699,7.95,3.1,97.0
700,5.1,2.8,46.0
