DownAndDistance,Yardline,Expected Points Added (EPA)
2-14,80,0.228349
1-13,77,0.262945
2-13,86,0.177785
1-14,80,0.302673
2-8,82,0.512101
2-8,85,0.473458
1-7,77,0.986965
1-4,77,1.47509
2-4,87,1.25031
2-3,87,1.29967
1-2,77,1.81616
1-1,77,2.10056
2-1,86,1.8833
3-18,85,0.140085
2-16,77,0.108849
3-16,86,0.0503326
3-11,87,0.290193
3-11,86,0.276125
3-10,85,0.326786
3-5,85,1.10904
3-1,87,1.79945
3-1,83,1.96834
1-3,91,1.23488
4-17,89,0.0120254
4-16,87,0.0182412
4-13,88,0.0457475
4-12,92,0.106426
4-12,94,0.115213
4-9,89,0.24788
4-5,89,1.02077
4-1,90,1.44708
4-1,86,1.55864
2-20,83,0.0474504
1-19,76,0.0427734
1-17,76,0.0887843
1-15,76,0.305428
2-15,87,0.194608
1-13,76,0.382112
2-10,85,0.394442
2-9,82,0.487073
2-9,87,0.515465
1-7,76,0.943096
1-4,76,1.38476
2-4,84,1.30289
1-2,76,1.87179
2-2,85,1.71425
1-1,76,2.13734
2-1,84,2.03376
3-20,84,0.0193522
3-20,83,0.0188987
3-20,79,0.0138143
3-18,84,0.151875
2-16,76,0.108483
3-16,87,0.0649683
3-10,90,0.302073
3-9,86,0.454388
3-9,87,0.426857
3-9,85,0.429071
3-9,89,0.403253
3-5,87,1.05475
3-4,84,1.25074
3-2,85,1.60057
3-1,86,1.86396
1-12,76,0.448995
4-15,84,0.140466
4-13,86,0.0608858
4-9,86,0.218381
4-9,92,0.2553
4-5,88,1.00884
4-5,85,1.05061
4-1,89,1.52456
2-20,80,0.0334054
1-19,75,0.0553051
2-19,79,0.0324212
1-17,75,0.110849
2-17,86,0.0445433
1-15,75,0.31437
2-15,83,0.203846
2-14,84,0.207654
1-13,75,0.318919
4-15,85,0.0905794
1-12,75,0.462843
2-10,80,0.462128
2-10,83,0.381705
2-9,80,0.506473
2-9,85,0.464094
2-9,83,0.458561
1-7,75,0.995869
2-7,76,0.831301
2-7,84,0.82524
