DownAndDistance,Yardline,Expected Points Added (EPA)
4-5,85,0.934421
4-3,85,0.93527
4-1,85,1.35455
1-19,84,0.0379386
1-13,84,0.199901
4-15,44,0.0949566
1-12,84,0.321035
2-18,60,0.128147
1-18,68,0.12045
1-9,84,0.418609
4-10,43,0.326342
1-8,84,0.503798
1-4,84,1.12565
2-15,84,0.176073
2-13,84,0.19034
1-9,39,0.952296
2-18,51,0.175218
1-18,85,0.102613
2-7,49,1.10068
2-12,84,0.28348
2-4,85,1.06242
2-8,84,0.46685
2-7,84,0.627225
1-14,78,0.225177
2-8,52,0.831472
2-6,84,0.691952
4-20,47,0
2-5,84,0.967262
2-8,85,0.445388
2-4,84,1.0795
3-3,17,1.99124
3-17,58,0.0947284
3-19,84,0.0109409
3-16,84,0.0771354
4-7,49,0.583557
3-15,84,0.170565
2-16,84,0.0998405
3-13,84,0.104981
3-14,67,0.159471
3-6,84,0.661995
3-4,84,1.07326
4-16,84,0.0336257
3-12,71,0.340415
4-14,84,0.0341655
4-13,84,0.0564438
4-12,84,0.117154
4-9,84,0.197075
4-5,84,0.902065
4-3,84,0.952058
4-1,84,1.38861
1-19,83,0.0408129
2-7,55,0.956142
2-12,86,0.264801
1-9,33,1.05046
2-18,49,0.219968
1-18,83,0.104607
1-13,83,0.201982
4-15,45,0.0993032
1-12,83,0.330739
1-18,65,0.121846
1-9,83,0.427644
4-10,16,0
1-8,83,0.512548
1-4,83,1.13903
3-16,85,0.0760294
1-2,83,1.32464
3-15,55,0.403355
4-7,84,0.318797
2-20,83,0.0228279
2-15,83,0.179332
2-13,83,0.189355
1-9,36,1.05354
2-18,44,0.418924
1-18,84,0.104648
2-7,50,1.03887
2-12,83,0.28729
3-2,25,2.51384
4-8,88,0.244476
2-10,83,0.345133
2-4,86,1.04884
2-8,83,0.454465
2-7,83,0.632026
1-14,49,0.49615
2-8,49,0.877312
2-6,83,0.694147
4-20,48,0
2-5,83,0.961886
2-2,83,1.31841
3-3,26,2.0027
3-19,83,0.0111211
3-16,83,0.0843091
4-7,48,0.573367
3-15,83,0.174868
2-16,85,0.0948449
3-13,83,0.111433
3-14,68,0.149937
2-19,51,0.0658585
3-6,83,0.681965
3-5,83,0.994237
4-16,83,0.0448324
3-12,64,0.407788
4-14,83,0.0495414
4-13,83,0.0503673
4-12,83,0.102055
4-9,83,0.20614
2-10,90,0.292591
3-2,18,2.45583
4-8,83,0.248938
2-20,86,0.0201673
3-15,50,0.548795
4-7,83,0.320296
4-5,83,0.937691
2-16,24,0.512658
4-3,83,0.943005
4-1,83,1.42801
1-19,82,0.0428673
2-7,48,1.09591
2-12,85,0.271683
1-9,38,0.964837
2-18,50,0.202692
1-18,82,0.110118
1-13,82,0.20879
4-15,46,0.100876
1-12,82,0.337019
1-9,82,0.433659
4-10,17,0
1-8,82,0.530966
1-4,82,1.16226
3-15,54,0.433847
4-7,87,0.318904
2-20,82,0.0250923
2-15,82,0.182961
2-13,82,0.19156
1-9,37,1.04728
2-18,45,0.361018
1-18,87,0.0951964
2-7,51,1.02676
2-12,82,0.292055
2-10,82,0.337151
2-4,87,1.04361
1-14,80,0.2112
2-8,82,0.473421
2-7,82,0.629174
1-14,48,0.495407
2-8,50,0.827715
2-6,82,0.689401
4-20,49,0
2-5,82,0.998066
2-4,82,1.0791
2-2,82,1.32619
3-3,27,2.05004
3-19,82,0.0115003
3-16,82,0.0851532
4-7,51,0.584462
3-15,82,0.179141
2-16,82,0.105488
3-13,82,0.111159
3-9,82,0.336228
3-14,69,0.144275
2-19,50,0.0665025
3-6,82,0.692551
3-5,82,1.03069
4-16,82,0.038428
3-12,65,0.386358
4-14,82,0.0353042
4-13,82,0.045068
4-12,82,0.110343
4-9,82,0.22053
4-5,82,0.941947
2-16,25,0.523734
4-3,82,0.953908
4-1,82,1.42237
1-19,81,0.0439122
1-13,81,0.212647
4-15,47,0.114134
1-12,81,0.33994
1-18,67,0.120499
1-9,81,0.433853
2-14,14,0.369509
4-10,46,0.327699
1-8,81,0.541351
1-4,81,1.14027
2-15,81,0.178408
2-13,81,0.189595
1-9,42,0.921705
2-18,46,0.32693
1-18,86,0.0992697
2-7,44,1.24346
2-12,81,0.295579
3-2,27,2.38963
4-8,90,0.242352
2-10,81,0.350187
2-7,81,0.639556
2-8,63,0.676747
1-14,51,0.472183
2-6,81,0.7414
4-20,50,0
2-5,81,1.01653
3-3,28,2.04548
3-17,57,0.101823
3-19,81,0.0129414
3-16,81,0.0915492
4-7,50,0.507589
3-15,81,0.17384
2-16,83,0.102011
3-13,81,0.113863
3-14,70,0.137236
2-19,49,0.0657212
3-6,81,0.7031
3-5,81,1.01455
4-16,81,0.0439875
3-12,66,0.381909
4-14,81,0.04717
4-13,81,0.0599664
4-12,81,0.126317
4-9,81,0.197191
2-20,84,0.0222201
3-15,52,0.464962
4-7,81,0.323722
4-5,81,0.956976
4-3,81,0.959263
4-1,81,1.42511
1-19,80,0.0461808
2-7,54,0.975654
2-12,87,0.263266
1-9,32,1.08881
2-18,48,0.245245
1-18,80,0.116819
1-13,80,0.214543
4-15,32,0.164642
1-12,80,0.339993
1-18,64,0.121629
1-9,80,0.449201
2-14,15,0.481086
4-10,47,0.308074
1-8,80,0.554187
1-4,80,1.15968
3-15,40,0.625237
4-7,85,0.323154
2-20,80,0.025073
2-15,80,0.192722
2-13,80,0.194545
1-9,43,0.935025
2-18,47,0.288302
1-18,89,0.0896335
2-7,45,1.19357
2-12,80,0.296699
2-4,81,1.08985
1-14,82,0.202244
2-8,80,0.482725
2-7,80,0.661875
2-8,48,0.855043
1-14,50,0.467906
2-6,80,0.722926
4-20,51,0
2-5,80,1.00975
1-14,81,0.216072
2-8,81,0.480896
2-4,80,1.13256
3-3,29,2.04698
3-19,80,0.0122208
3-16,80,0.0877374
4-7,61,0.475944
3-15,80,0.183837
2-16,80,0.115926
3-13,80,0.118191
3-14,71,0.135212
2-19,48,0.0629548
3-6,80,0.70402
3-5,80,1.04785
4-16,80,0.0434799
3-12,67,0.378198
4-14,80,0.0513846
4-13,80,0.0570478
4-12,80,0.103612
4-9,80,0.212388
3-2,17,2.62283
4-8,80,0.268852
2-20,87,0.0195514
3-15,51,0.501548
4-7,80,0.348677
4-5,80,0.977635
4-3,80,1.00585
4-1,80,1.37726
2-14,82,0.140286
4-14,41,0.0774002
1-20,79,0.0477862
1-19,79,0.04834
1-13,79,0.230284
4-15,81,0.0556739
1-12,79,0.35594
1-9,79,0.454154
2-14,16,0.527344
1-11,11,0.934337
4-10,20,0
1-8,79,0.569429
1-7,79,0.72531
1-4,79,1.19137
1-2,79,1.4293
3-15,59,0.250157
4-7,88,0.310771
2-20,79,0.0264912
2-16,79,0.122003
2-15,79,0.190011
2-13,79,0.207348
2-7,79,0.665708
2-8,93,0.396342
1-14,85,0.188772
2-6,79,0.729604
4-20,52,0
2-5,79,1.01718
2-2,79,1.38598
3-3,6,1.94857
3-19,79,0.0134747
1-2,85,1.30679
3-16,79,0.102849
4-7,44,0.647415
3-15,79,0.191864
2-16,81,0.111621
3-13,79,0.112889
4-4,91,0.813028
3-9,79,0.346286
3-1,59,2.16615
3-7,79,0.624502
3-6,79,0.713192
3-5,79,1.05815
3-17,72,0.0512444
3-3,79,1.17571
3-3,70,1.28425
3-17,67,0.0541769
4-19,79,0
4-18,79,0.0188349
4-16,79,0.0339114
3-12,92,0.19893
4-14,79,0.0473626
4-13,79,0.0533586
4-12,79,0.128881
1-8,48,0.982927
4-16,50,0.0289899
1-11,84,0.347962
4-10,79,0.180822
4-9,79,0.21094
2-20,90,0.0164219
3-15,46,0.586999
4-7,79,0.329176
4-5,79,0.988554
4-3,79,0.972583
4-1,79,1.50747
2-14,83,0.126819
4-14,46,0.103949
1-20,78,0.0502908
1-19,78,0.0501644
1-17,78,0.0605513
1-13,78,0.226658
4-15,82,0.0455181
1-12,78,0.357833
1-9,78,0.475015
2-14,17,0.71531
4-10,21,0.599522
1-8,78,0.566145
1-7,78,0.742262
1-4,78,1.19932
1-2,78,1.40641
2-20,78,0.0252041
2-16,78,0.118521
2-15,78,0.192991
2-13,78,0.206252
1-4,30,2.11768
2-9,78,0.397755
2-7,78,0.670689
2-8,94,0.369869
1-14,84,0.19426
2-6,78,0.745252
4-20,53,0
2-5,78,1.03971
2-2,78,1.41949
3-3,7,1.86286
3-19,78,0.0131825
1-2,86,1.27312
3-16,78,0.102455
4-7,47,0.61102
3-15,78,0.206808
3-13,78,0.122062
4-4,88,0.833158
3-9,78,0.358907
3-1,58,2.22613
3-7,78,0.635788
3-6,78,0.726914
3-5,78,1.05817
3-17,75,0.0452747
3-3,78,1.1759
2-5,53,1.39349
4-20,78,0
3-3,71,1.28728
3-17,64,0.0640847
4-19,78,0
4-16,78,0.0532329
3-12,93,0.187246
4-14,78,0.0430483
4-13,78,0.0576147
4-12,78,0.118884
1-8,49,0.964676
4-16,49,0.0293127
1-11,85,0.33757
4-10,78,0.184051
4-9,78,0.19799
3-15,45,0.609691
4-7,78,0.386752
4-5,78,0.9942
4-3,78,1.022
4-1,78,1.498
2-14,80,0.141659
4-14,43,0.104852
1-20,77,0.0508453
1-19,77,0.0531044
1-17,77,0.0649357
1-13,77,0.235122
4-15,83,0.0512984
1-12,77,0.360388
1-9,77,0.478315
2-14,18,0.736211
4-10,18,0
1-8,77,0.58382
1-7,77,0.749324
1-4,77,1.21602
1-2,77,1.46158
2-20,77,0.0263251
2-16,77,0.126035
2-15,77,0.201748
2-13,77,0.22023
2-7,77,0.678383
2-8,91,0.393218
1-14,87,0.17654
2-6,77,0.760191
4-20,54,0
2-5,77,1.06084
2-2,77,1.42355
3-3,24,2.10495
3-19,77,0.0138425
3-16,77,0.122467
4-7,46,0.625794
3-15,77,0.198223
3-13,77,0.126442
3-9,77,0.365025
3-1,57,2.17436
3-7,77,0.642703
1-19,89,0.0329895
3-6,77,0.739915
3-5,77,1.08324
3-3,88,1.02942
3-17,69,0.0499527
4-19,77,0
4-16,77,0.0524566
4-15,77,0.0567447
3-12,94,0.172934
4-6,82,0.412924
4-14,77,0.0485272
4-13,77,0.049762
4-12,77,0.134881
1-11,82,0.351314
1-8,54,0.908444
4-16,60,0.0577233
4-10,77,0.200338
4-9,77,0.201602
2-20,88,0.0184799
3-15,32,0.76103
4-7,77,0.386391
4-5,77,0.992635
4-3,77,1.0248
4-1,77,1.53194
2-14,81,0.13886
4-14,40,0.0362966
1-20,76,0.0550955
1-19,76,0.0567375
1-17,76,0.0756915
1-13,76,0.248861
4-15,84,0.0510236
1-12,76,0.364093
1-9,76,0.489502
2-14,19,0.785878
4-10,19,0
1-8,76,0.606199
1-7,76,0.76674
1-4,76,1.16044
1-2,76,1.43466
3-15,60,0.249978
4-7,89,0.300443
2-20,76,0.0274634
2-16,76,0.132864
2-15,76,0.197186
2-13,76,0.221375
1-9,95,0.29203
2-18,59,0.126936
1-18,77,0.118598
2-7,57,0.924042
2-12,76,0.323023
2-7,76,0.699304
2-8,92,0.382752
1-14,86,0.179807
2-6,76,0.794463
4-20,55,0
2-5,76,1.04244
2-2,76,1.42495
3-3,25,2.03179
3-19,76,0.0140612
1-2,84,1.28834
3-16,76,0.111575
4-7,41,0.639698
3-15,76,0.203896
3-13,76,0.131976
4-4,90,0.803294
3-9,76,0.372426
3-1,56,2.20385
3-7,76,0.631985
3-6,76,0.752513
3-5,76,1.09042
3-17,66,0.0566398
3-3,89,1.0367
4-19,76,0
4-18,76,0.0249931
4-16,76,0.0518354
4-15,76,0.0716262
3-12,95,0.171668
4-6,83,0.411496
4-14,76,0.0448909
4-13,76,0.0685361
4-12,76,0.133213
1-11,83,0.353367
1-8,55,0.871708
4-16,51,0.0359307
4-10,76,0.18517
4-9,76,0.212945
3-15,47,0.60221
4-7,76,0.375598
4-5,76,1.01909
